2025-06-26 20:08:48.817569 | ID: 528 | class: chair | x: 0 | y: 222
2025-06-26 20:08:51.170869 | ID: 531 | class: chair | x: 0 | y: 223
2025-06-26 20:08:55.089939 | ID: 534 | class: chair | x: 296 | y: 233
2025-06-26 20:08:55.118932 | ID: 535 | class: chair | x: 0 | y: 223
2025-06-26 20:08:56.479183 | ID: 536 | class: chair | x: 0 | y: 223
2025-06-26 20:08:56.991858 | ID: 537 | class: chair | x: 0 | y: 223
2025-06-26 20:08:59.289228 | ID: 538 | class: chair | x: 0 | y: 223
2025-06-26 20:09:00.546255 | ID: 540 | class: chair | x: 0 | y: 223
2025-06-26 20:09:07.129100 | ID: 541 | class: chair | x: 0 | y: 223
2025-06-26 20:09:08.467809 | ID: 544 | class: chair | x: 296 | y: 233
2025-06-26 20:09:12.123689 | ID: 546 | class: chair | x: 0 | y: 224
2025-06-26 20:09:13.940561 | ID: 547 | class: chair | x: 0 | y: 223
2025-06-26 20:09:16.436870 | ID: 548 | class: chair | x: 0 | y: 224
2025-06-26 20:09:18.169979 | ID: 549 | class: chair | x: 0 | y: 223
2025-06-26 20:09:20.871392 | ID: 550 | class: chair | x: 0 | y: 223
2025-06-26 20:09:28.191517 | ID: 551 | class: chair | x: 296 | y: 233
2025-06-26 20:09:29.256949 | ID: 552 | class: chair | x: 0 | y: 223
2025-06-26 20:09:30.106387 | ID: 553 | class: chair | x: 5 | y: 266
2025-06-26 20:09:30.790760 | ID: 554 | class: chair | x: 0 | y: 223
2025-06-26 20:09:34.336741 | ID: 555 | class: chair | x: 0 | y: 223
2025-06-26 20:09:38.850363 | ID: 556 | class: chair | x: 6 | y: 265
2025-06-26 20:09:39.051806 | ID: 557 | class: chair | x: 0 | y: 223
2025-06-26 20:09:39.682836 | ID: 558 | class: chair | x: 6 | y: 265
2025-06-26 20:09:39.991815 | ID: 559 | class: chair | x: 0 | y: 223
2025-06-26 20:09:40.784040 | ID: 560 | class: chair | x: 296 | y: 233
2025-06-26 20:09:42.340579 | ID: 561 | class: chair | x: 8 | y: 206
2025-06-26 20:09:42.770979 | ID: 562 | class: chair | x: 6 | y: 264
2025-06-26 20:09:42.936924 | ID: 563 | class: person | x: 296 | y: 236
2025-06-26 20:09:47.324745 | ID: 564 | class: chair | x: 0 | y: 223
2025-06-26 20:09:48.563040 | ID: 565 | class: chair | x: 0 | y: 223
2025-06-26 20:09:48.904762 | ID: 566 | class: chair | x: 0 | y: 223
2025-06-26 20:09:51.267459 | ID: 568 | class: chair | x: 0 | y: 223
2025-06-26 20:09:52.757063 | ID: 569 | class: chair | x: 0 | y: 223
2025-06-26 20:09:52.782118 | ID: 570 | class: chair | x: 6 | y: 263
2025-06-26 20:09:53.622535 | ID: 571 | class: chair | x: 5 | y: 264
2025-06-26 20:09:54.228545 | ID: 572 | class: chair | x: 6 | y: 263
2025-06-26 20:09:54.261238 | ID: 573 | class: chair | x: 0 | y: 222
2025-06-26 20:09:54.552484 | ID: 574 | class: chair | x: 0 | y: 223
2025-06-26 20:09:54.631856 | ID: 575 | class: person | x: 291 | y: 230
2025-06-26 20:09:55.067153 | ID: 576 | class: person | x: 292 | y: 234
2025-06-26 20:09:55.621063 | ID: 577 | class: chair | x: 5 | y: 206
2025-06-26 20:09:56.819216 | ID: 578 | class: person | x: 296 | y: 236
2025-06-26 20:09:58.822705 | ID: 581 | class: chair | x: 5 | y: 205
2025-06-26 20:09:59.100615 | ID: 582 | class: person | x: 290 | y: 229
2025-06-26 20:10:00.478935 | ID: 584 | class: person | x: 291 | y: 233
2025-06-26 20:10:03.940699 | ID: 588 | class: chair | x: 295 | y: 233
2025-06-26 20:10:06.784638 | ID: 590 | class: chair | x: 296 | y: 234
2025-06-26 20:10:06.824288 | ID: 591 | class: chair | x: 0 | y: 223
2025-06-26 20:10:07.539241 | ID: 592 | class: chair | x: 0 | y: 224
2025-06-26 20:10:08.056444 | ID: 594 | class: chair | x: 296 | y: 234
2025-06-26 20:10:08.057886 | ID: 593 | class: chair | x: 0 | y: 224
2025-06-26 20:10:08.331253 | ID: 595 | class: chair | x: 0 | y: 224
2025-06-26 20:10:09.151757 | ID: 597 | class: chair | x: 0 | y: 224
2025-06-26 20:10:10.452003 | ID: 598 | class: chair | x: 0 | y: 223
2025-06-26 20:10:12.949528 | ID: 600 | class: chair | x: 0 | y: 223
2025-06-26 20:10:13.315517 | ID: 601 | class: chair | x: 0 | y: 224
2025-06-26 20:10:15.522798 | ID: 602 | class: chair | x: 0 | y: 223
2025-06-26 20:10:17.203807 | ID: 603 | class: chair | x: 0 | y: 223
2025-06-26 20:10:18.026433 | ID: 604 | class: chair | x: 0 | y: 223
2025-06-26 20:10:19.725666 | ID: 605 | class: chair | x: 0 | y: 223
2025-06-26 20:10:22.967817 | ID: 606 | class: chair | x: 0 | y: 224
2025-06-26 20:10:24.405716 | ID: 607 | class: chair | x: 0 | y: 223
2025-06-26 20:10:25.858238 | ID: 608 | class: chair | x: 0 | y: 223
2025-06-26 20:10:26.874747 | ID: 609 | class: chair | x: 0 | y: 224
2025-06-26 20:10:27.992182 | ID: 610 | class: chair | x: 0 | y: 223
2025-06-26 20:10:31.001195 | ID: 611 | class: chair | x: 0 | y: 223
2025-06-26 20:10:32.179960 | ID: 612 | class: chair | x: 0 | y: 223
2025-06-26 20:10:33.356205 | ID: 613 | class: chair | x: 0 | y: 223
2025-06-26 20:10:36.805403 | ID: 614 | class: chair | x: 0 | y: 223
2025-06-26 20:10:38.012740 | ID: 615 | class: chair | x: 0 | y: 224
2025-06-26 20:10:39.276483 | ID: 617 | class: chair | x: 0 | y: 223
2025-06-26 20:10:44.529577 | ID: 619 | class: chair | x: 0 | y: 223
2025-06-26 20:10:45.806424 | ID: 621 | class: chair | x: 0 | y: 224
2025-06-26 20:10:46.382038 | ID: 622 | class: chair | x: 0 | y: 223
2025-06-26 20:10:47.803647 | ID: 624 | class: chair | x: 0 | y: 223
2025-06-26 20:10:55.068256 | ID: 630 | class: chair | x: 0 | y: 223
2025-06-26 20:10:57.072311 | ID: 632 | class: chair | x: 0 | y: 223
2025-06-26 20:11:01.292582 | ID: 635 | class: chair | x: 0 | y: 223
2025-06-26 20:11:03.640791 | ID: 636 | class: chair | x: 0 | y: 223
2025-06-26 20:11:05.469356 | ID: 637 | class: chair | x: 0 | y: 223
2025-06-26 20:11:08.029461 | ID: 639 | class: chair | x: 0 | y: 223
2025-06-26 20:11:09.080124 | ID: 640 | class: chair | x: 0 | y: 223
2025-06-26 20:11:11.224167 | ID: 641 | class: chair | x: 0 | y: 224
2025-06-26 20:11:14.414893 | ID: 643 | class: chair | x: 0 | y: 223
2025-06-26 20:11:17.627250 | ID: 644 | class: chair | x: 0 | y: 223
2025-06-26 20:11:18.204408 | ID: 645 | class: chair | x: 0 | y: 223
2025-06-26 20:11:21.453592 | ID: 646 | class: chair | x: 0 | y: 223
2025-06-26 20:11:24.429569 | ID: 647 | class: chair | x: 0 | y: 224
2025-06-26 20:11:26.359826 | ID: 648 | class: chair | x: 0 | y: 223
